,image,epsilon,k,mode,execution time,number of machines,label accuracy
0,lena,0.1,3,parallel,9.272794008255005,4,0.3764991760253906
1,lena,0.1,3,non-parallel,1.6137161254882812,4,0.38927459716796875
2,lena,0.1,5,parallel,4.540457010269165,4,0.15618133544921875
3,lena,0.1,5,non-parallel,1.6978909969329834,4,0.3486976623535156
4,lena,0.1,10,parallel,4.498476028442383,4,0.13962554931640625
5,lena,0.1,10,non-parallel,2.207610845565796,4,0.0657196044921875
6,lena,0.1,30,parallel,6.306808233261108,4,0.0633392333984375
7,lena,0.1,30,non-parallel,3.6042041778564453,4,0.041500091552734375
8,lena,0.1,50,parallel,8.369690179824829,4,0.02109527587890625
9,lena,0.1,50,non-parallel,5.062441825866699,4,0.000392913818359375
10,baboon,0.1,3,parallel,3.9569668769836426,4,0.18577194213867188
11,baboon,0.1,3,non-parallel,1.5745370388031006,4,0.411773681640625
12,baboon,0.1,5,parallel,4.129913091659546,4,0.5357208251953125
13,baboon,0.1,5,non-parallel,1.8681378364562988,4,0.3826332092285156
14,baboon,0.1,10,parallel,5.0491180419921875,4,0.13675308227539062
15,baboon,0.1,10,non-parallel,2.547775983810425,4,0.02567291259765625
16,baboon,0.1,30,parallel,6.4721479415893555,4,0.04085540771484375
17,baboon,0.1,30,non-parallel,3.6468329429626465,4,0.0507965087890625
18,baboon,0.1,50,parallel,8.469550848007202,4,0.008922576904296875
19,baboon,0.1,50,non-parallel,5.250600099563599,4,0.01509857177734375
