,image,epsilon,k,mode,execution time,number of machines,cost
0,lena,0.3,3,parallel,13.094974994659424,4,4228361997392.011
1,lena,0.3,3,non-parallel,1.696465253829956,4,885023430955.5942
2,lena,0.3,5,parallel,4.717819929122925,4,3121792414693.8066
3,lena,0.3,5,non-parallel,1.8222310543060303,4,420870502339.5002
4,lena,0.3,10,parallel,5.027050971984863,4,1799958474219.9248
5,lena,0.3,10,non-parallel,2.585150957107544,4,130326489876.49998
6,lena,0.3,30,parallel,7.730216979980469,4,878967081129.4221
7,lena,0.3,30,non-parallel,4.649576187133789,4,15035452979.625
8,lena,0.3,50,parallel,9.892035245895386,4,571648289702.2753
9,lena,0.3,50,non-parallel,5.579658031463623,4,2008149742.375
10,baboon,0.3,3,parallel,4.195626974105835,4,12229172856914.56
11,baboon,0.3,3,non-parallel,1.5701360702514648,4,4410549821910.755
12,baboon,0.3,5,parallel,4.723254919052124,4,8972093784717.2
13,baboon,0.3,5,non-parallel,1.8812761306762695,4,2112355818389.0034
14,baboon,0.3,10,parallel,4.937505006790161,4,5625698805424.385
15,baboon,0.3,10,non-parallel,2.5337750911712646,4,587014763985.2501
16,baboon,0.3,30,parallel,7.358032941818237,4,2725811392385.099
17,baboon,0.3,30,non-parallel,4.4324140548706055,4,61833803370.99999
18,baboon,0.3,50,parallel,10.347476959228516,4,1565576591331.741
19,baboon,0.3,50,non-parallel,5.224670886993408,4,16346668477.25
