,n_samples,epsilon,k,mode,execution time,number of machines,coreset size
0,1000,0.001,3,parallel,4.346354722976685,4,649.0
1,1000,0.001,3,non-parallel,0.08856797218322754,4,
2,1000,0.01,3,parallel,0.7885584831237793,4,715
3,1000,0.01,3,non-parallel,0.11003279685974121,4,
4,1000,0.1,3,parallel,0.7512469291687012,4,691
5,1000,0.1,3,non-parallel,0.060604095458984375,4,
6,5000,0.001,3,parallel,0.749408483505249,4,1351
7,5000,0.001,3,non-parallel,0.2017199993133545,4,
8,5000,0.01,3,parallel,0.8261783123016357,4,1250
9,5000,0.01,3,non-parallel,0.22419214248657227,4,
10,5000,0.1,3,parallel,0.8324999809265137,4,1177
11,5000,0.1,3,non-parallel,0.19289374351501465,4,
12,10000,0.001,3,parallel,0.9902431964874268,4,1617
13,10000,0.001,3,non-parallel,0.22643709182739258,4,
14,10000,0.01,3,parallel,0.8965809345245361,4,1645
15,10000,0.01,3,non-parallel,0.25093984603881836,4,
16,10000,0.1,3,parallel,1.0251452922821045,4,1336
17,10000,0.1,3,non-parallel,0.287494421005249,4,
18,50000,0.001,3,parallel,2.269937515258789,4,1343
19,50000,0.001,3,non-parallel,0.5980410575866699,4,
20,50000,0.01,3,parallel,1.7125897407531738,4,1323
21,50000,0.01,3,non-parallel,0.8787848949432373,4,
22,50000,0.1,3,parallel,2.0629780292510986,4,1638
23,50000,0.1,3,non-parallel,0.6271212100982666,4,
24,100000,0.001,3,parallel,3.738293170928955,4,1188
25,100000,0.001,3,non-parallel,0.8931252956390381,4,
26,100000,0.01,3,parallel,3.270498752593994,4,1253
27,100000,0.01,3,non-parallel,0.9409472942352295,4,
28,100000,0.1,3,parallel,3.395847797393799,4,1101
29,100000,0.1,3,non-parallel,0.8451275825500488,4,
30,500000,0.001,3,parallel,9.364115238189697,4,518
31,500000,0.001,3,non-parallel,4.850268840789795,4,
32,500000,0.01,3,parallel,11.836755990982056,4,547
33,500000,0.01,3,non-parallel,2.834254503250122,4,
34,500000,0.1,3,parallel,12.079631328582764,4,525
35,500000,0.1,3,non-parallel,4.032185792922974,4,
36,1000000,0.001,3,parallel,21.51655650138855,4,366
37,1000000,0.001,3,non-parallel,8.54966139793396,4,
38,1000000,0.01,3,parallel,24.718849658966064,4,368
39,1000000,0.01,3,non-parallel,9.021862745285034,4,
40,1000000,0.1,3,parallel,23.13944387435913,4,368
41,1000000,0.1,3,non-parallel,7.080239772796631,4,
