,n_samples,epsilon,k,mode,execution time,number of machines,coreset size
0,1000,0.001,15,parallel,5.872740030288696,4,417.0
1,1000,0.001,15,non-parallel,0.19727230072021484,4,
2,1000,0.01,15,parallel,1.0329139232635498,4,379
3,1000,0.01,15,non-parallel,0.21939301490783691,4,
4,1000,0.1,15,parallel,0.9259676933288574,4,369
5,1000,0.1,15,non-parallel,0.1838212013244629,4,
6,5000,0.001,15,parallel,0.9885208606719971,4,669
7,5000,0.001,15,non-parallel,0.3818173408508301,4,
8,5000,0.01,15,parallel,1.0942246913909912,4,640
9,5000,0.01,15,non-parallel,0.39102649688720703,4,
10,5000,0.1,15,parallel,1.0407519340515137,4,663
11,5000,0.1,15,non-parallel,0.3642845153808594,4,
12,10000,0.001,15,parallel,1.3061447143554688,4,1049
13,10000,0.001,15,non-parallel,0.6897664070129395,4,
14,10000,0.01,15,parallel,1.279508113861084,4,1074
15,10000,0.01,15,non-parallel,0.7133734226226807,4,
16,10000,0.1,15,parallel,1.136869192123413,4,942
17,10000,0.1,15,non-parallel,0.6762654781341553,4,
18,50000,0.001,15,parallel,2.529749631881714,4,1142
19,50000,0.001,15,non-parallel,1.195594310760498,4,
20,50000,0.01,15,parallel,2.4491987228393555,4,1048
21,50000,0.01,15,non-parallel,1.1463136672973633,4,
22,50000,0.1,15,parallel,2.3912129402160645,4,1428
23,50000,0.1,15,non-parallel,1.1404037475585938,4,
24,100000,0.001,15,parallel,2.7606990337371826,4,875
25,100000,0.001,15,non-parallel,1.7978572845458984,4,
26,100000,0.01,15,parallel,3.570065498352051,4,1168
27,100000,0.01,15,non-parallel,1.132836103439331,4,
28,100000,0.1,15,parallel,3.617011785507202,4,1161
29,100000,0.1,15,non-parallel,1.71901535987854,4,
30,500000,0.001,15,parallel,12.525568008422852,4,948
31,500000,0.001,15,non-parallel,7.928045272827148,4,
32,500000,0.01,15,parallel,18.523811101913452,4,939
33,500000,0.01,15,non-parallel,7.462228536605835,4,
34,500000,0.1,15,parallel,15.919346570968628,4,837
35,500000,0.1,15,non-parallel,7.663912057876587,4,
36,1000000,0.001,15,parallel,33.504148960113525,4,682
37,1000000,0.001,15,non-parallel,13.556999683380127,4,
38,1000000,0.01,15,parallel,30.119330406188965,4,682
39,1000000,0.01,15,non-parallel,13.839107513427734,4,
40,1000000,0.1,15,parallel,27.35240864753723,4,682
41,1000000,0.1,15,non-parallel,15.711444854736328,4,
