,dataset,epsilon,k,mode,execution time,number of machines
0,lena,0.1,30,parallel,15.700824975967407,4
1,lena,0.1,30,no-coreset,33.58902859687805,4
2,lena,0.3,30,parallel,13.605106830596924,4
3,lena,0.3,30,no-coreset,33.26169514656067,4
4,lena,0.5,30,parallel,13.825467824935913,4
5,lena,0.5,30,no-coreset,33.607542753219604,4
6,lena,0.7,30,parallel,13.175754308700562,4
7,lena,0.7,30,no-coreset,35.943291425704956,4
8,lena,0.9,30,parallel,12.501754999160767,4
9,lena,0.9,30,no-coreset,37.02619409561157,4
10,baboon,0.1,30,parallel,17.294548511505127,4
11,baboon,0.1,30,no-coreset,50.498778104782104,4
12,baboon,0.3,30,parallel,17.789401531219482,4
13,baboon,0.3,30,no-coreset,62.219846963882446,4
14,baboon,0.5,30,parallel,26.089077949523926,4
15,baboon,0.5,30,no-coreset,66.53875470161438,4
16,baboon,0.7,30,parallel,27.55487632751465,4
17,baboon,0.7,30,no-coreset,57.96907925605774,4
18,baboon,0.9,30,parallel,17.69809079170227,4
19,baboon,0.9,30,no-coreset,55.346073627471924,4
