,dataset,epsilon,k,mode,execution time,number of machines
0,lena,0.001,2,parallel,14.81557297706604,4
1,lena,0.001,2,no-coreset,1.2640855312347412,4
2,lena,0.001,3,parallel,10.647926568984985,4
3,lena,0.001,3,no-coreset,2.536630868911743,4
4,lena,0.001,5,parallel,10.97512936592102,4
5,lena,0.001,5,no-coreset,3.0595781803131104,4
6,lena,0.001,10,parallel,11.038350343704224,4
7,lena,0.001,10,no-coreset,9.256239175796509,4
8,lena,0.001,15,parallel,11.106925964355469,4
9,lena,0.001,15,no-coreset,15.599349021911621,4
10,lena,0.001,20,parallel,11.653435468673706,4
11,lena,0.001,20,no-coreset,25.32041335105896,4
12,lena,0.001,30,parallel,12.997409105300903,4
13,lena,0.001,30,no-coreset,36.68903183937073,4
14,lena,0.01,2,parallel,9.68384838104248,4
15,lena,0.01,2,no-coreset,1.568781852722168,4
16,lena,0.01,3,parallel,10.08713960647583,4
17,lena,0.01,3,no-coreset,2.6032068729400635,4
18,lena,0.01,5,parallel,9.678353548049927,4
19,lena,0.01,5,no-coreset,3.036757469177246,4
20,lena,0.01,10,parallel,10.534991025924683,4
21,lena,0.01,10,no-coreset,8.943705081939697,4
22,lena,0.01,15,parallel,11.203726291656494,4
23,lena,0.01,15,no-coreset,15.518410444259644,4
24,lena,0.01,20,parallel,12.232398509979248,4
25,lena,0.01,20,no-coreset,24.55835270881653,4
26,lena,0.01,30,parallel,12.585083961486816,4
27,lena,0.01,30,no-coreset,36.31666350364685,4
28,lena,0.05,2,parallel,9.735736846923828,4
29,lena,0.05,2,no-coreset,1.4662389755249023,4
30,lena,0.05,3,parallel,9.744593381881714,4
31,lena,0.05,3,no-coreset,2.5570406913757324,4
32,lena,0.05,5,parallel,10.057493448257446,4
33,lena,0.05,5,no-coreset,2.8643064498901367,4
34,lena,0.05,10,parallel,10.346276998519897,4
35,lena,0.05,10,no-coreset,8.872389554977417,4
36,lena,0.05,15,parallel,11.088143587112427,4
37,lena,0.05,15,no-coreset,15.455241918563843,4
38,lena,0.05,20,parallel,11.628711223602295,4
39,lena,0.05,20,no-coreset,27.636783599853516,4
40,lena,0.05,30,parallel,19.258228302001953,4
41,lena,0.05,30,no-coreset,37.922539710998535,4
42,lena,0.1,2,parallel,10.1508629322052,4
43,lena,0.1,2,no-coreset,1.2553377151489258,4
44,lena,0.1,3,parallel,10.127085208892822,4
45,lena,0.1,3,no-coreset,2.424898862838745,4
46,lena,0.1,5,parallel,10.214536428451538,4
47,lena,0.1,5,no-coreset,2.9748752117156982,4
48,lena,0.1,10,parallel,10.363996028900146,4
49,lena,0.1,10,no-coreset,8.958959102630615,4
50,lena,0.1,15,parallel,10.987404108047485,4
51,lena,0.1,15,no-coreset,15.695143938064575,4
52,lena,0.1,20,parallel,10.7186861038208,4
53,lena,0.1,20,no-coreset,24.72297954559326,4
54,lena,0.1,30,parallel,13.249600410461426,4
55,lena,0.1,30,no-coreset,36.60061979293823,4
56,lena,0.5,2,parallel,9.491261005401611,4
57,lena,0.5,2,no-coreset,3.6717772483825684,4
58,lena,0.5,3,parallel,9.428618431091309,4
59,lena,0.5,3,no-coreset,2.394240140914917,4
60,lena,0.5,5,parallel,9.963996171951294,4
61,lena,0.5,5,no-coreset,2.8432750701904297,4
62,lena,0.5,10,parallel,10.509952068328857,4
63,lena,0.5,10,no-coreset,8.969160318374634,4
64,lena,0.5,15,parallel,10.721015453338623,4
65,lena,0.5,15,no-coreset,15.62569546699524,4
66,lena,0.5,20,parallel,10.910341739654541,4
67,lena,0.5,20,no-coreset,24.683608531951904,4
68,lena,0.5,30,parallel,13.614355564117432,4
69,lena,0.5,30,no-coreset,36.61714005470276,4
70,baboon,0.001,2,parallel,10.723838567733765,4
71,baboon,0.001,2,no-coreset,1.4616398811340332,4
72,baboon,0.001,3,parallel,10.704745531082153,4
73,baboon,0.001,3,no-coreset,2.0825705528259277,4
74,baboon,0.001,5,parallel,10.799437761306763,4
75,baboon,0.001,5,no-coreset,3.741654872894287,4
76,baboon,0.001,10,parallel,12.92641830444336,4
77,baboon,0.001,10,no-coreset,14.16504192352295,4
78,baboon,0.001,15,parallel,12.529947519302368,4
79,baboon,0.001,15,no-coreset,22.949893951416016,4
80,baboon,0.001,20,parallel,13.356686353683472,4
81,baboon,0.001,20,no-coreset,28.03618574142456,4
82,baboon,0.001,30,parallel,17.852904081344604,4
83,baboon,0.001,30,no-coreset,54.65218257904053,4
84,baboon,0.01,2,parallel,13.694401502609253,4
85,baboon,0.01,2,no-coreset,1.4460487365722656,4
86,baboon,0.01,3,parallel,10.606464147567749,4
87,baboon,0.01,3,no-coreset,2.1127917766571045,4
88,baboon,0.01,5,parallel,11.171631813049316,4
89,baboon,0.01,5,no-coreset,3.813040018081665,4
90,baboon,0.01,10,parallel,11.620060443878174,4
91,baboon,0.01,10,no-coreset,13.164181232452393,4
92,baboon,0.01,15,parallel,13.17264437675476,4
93,baboon,0.01,15,no-coreset,22.877291679382324,4
94,baboon,0.01,20,parallel,13.257014989852905,4
95,baboon,0.01,20,no-coreset,27.968647241592407,4
96,baboon,0.01,30,parallel,16.98967146873474,4
97,baboon,0.01,30,no-coreset,54.24703931808472,4
98,baboon,0.05,2,parallel,13.633844375610352,4
99,baboon,0.05,2,no-coreset,1.3599708080291748,4
100,baboon,0.05,3,parallel,11.11860728263855,4
101,baboon,0.05,3,no-coreset,2.135066509246826,4
102,baboon,0.05,5,parallel,11.030739068984985,4
103,baboon,0.05,5,no-coreset,3.9499197006225586,4
104,baboon,0.05,10,parallel,11.953420400619507,4
105,baboon,0.05,10,no-coreset,13.007821559906006,4
106,baboon,0.05,15,parallel,13.205582618713379,4
107,baboon,0.05,15,no-coreset,22.98085331916809,4
108,baboon,0.05,20,parallel,13.363206386566162,4
109,baboon,0.05,20,no-coreset,27.978697061538696,4
110,baboon,0.05,30,parallel,13.95036005973816,4
111,baboon,0.05,30,no-coreset,54.032727003097534,4
112,baboon,0.1,2,parallel,13.401491165161133,4
113,baboon,0.1,2,no-coreset,1.366997480392456,4
114,baboon,0.1,3,parallel,10.556896448135376,4
115,baboon,0.1,3,no-coreset,1.919818639755249,4
116,baboon,0.1,5,parallel,11.507690191268921,4
117,baboon,0.1,5,no-coreset,3.7666783332824707,4
118,baboon,0.1,10,parallel,11.211777210235596,4
119,baboon,0.1,10,no-coreset,13.820774793624878,4
120,baboon,0.1,15,parallel,12.709769487380981,4
121,baboon,0.1,15,no-coreset,22.689404487609863,4
122,baboon,0.1,20,parallel,12.838208675384521,4
123,baboon,0.1,20,no-coreset,27.75315523147583,4
124,baboon,0.1,30,parallel,14.882545948028564,4
125,baboon,0.1,30,no-coreset,53.62443423271179,4
126,baboon,0.5,2,parallel,14.046527624130249,4
127,baboon,0.5,2,no-coreset,1.3534295558929443,4
128,baboon,0.5,3,parallel,10.639924764633179,4
129,baboon,0.5,3,no-coreset,2.0068135261535645,4
130,baboon,0.5,5,parallel,11.046167135238647,4
131,baboon,0.5,5,no-coreset,3.7242355346679688,4
132,baboon,0.5,10,parallel,11.865589141845703,4
133,baboon,0.5,10,no-coreset,13.13966178894043,4
134,baboon,0.5,15,parallel,12.759446144104004,4
135,baboon,0.5,15,no-coreset,22.958778142929077,4
136,baboon,0.5,20,parallel,12.960198879241943,4
137,baboon,0.5,20,no-coreset,27.984386682510376,4
138,baboon,0.5,30,parallel,16.41926407814026,4
139,baboon,0.5,30,no-coreset,53.76096534729004,4
